,volume,vwap,open,close,high,low,datetime,trades
680,196529.361321,680.7003,680.5,680.92,680.97,680.48,2026-03-03 15:20:00-05:00,2717
681,106994.617822,680.8657,680.91,680.6,681.01,680.59,2026-03-03 15:21:00-05:00,1569
682,195126.679259,680.5345,680.62,680.525,680.76,680.31,2026-03-03 15:22:00-05:00,2981
683,153382.743703,680.6208,680.54,680.52,680.71,680.48,2026-03-03 15:23:00-05:00,2094
684,152071.334905,680.6338,680.47,680.705,680.8,680.46,2026-03-03 15:24:00-05:00,1903
685,134741.544554,680.438,680.715,680.445,680.735,680.16,2026-03-03 15:25:00-05:00,2168
686,132246.824743,680.5252,680.445,680.67,680.74,680.26,2026-03-03 15:26:00-05:00,2029
687,119315.187775,680.7005,680.65,680.69,680.8,680.6099,2026-03-03 15:27:00-05:00,2124
688,210456.746388,681.0542,680.7,680.86,681.305,680.7,2026-03-03 15:28:00-05:00,2910
689,213537.187106,681.1669,680.87,681.05,681.3,680.87,2026-03-03 15:29:00-05:00,2751
690,133814.306652,681.0662,681.04,680.99,681.22,680.93,2026-03-03 15:30:00-05:00,2383
691,109883.459292,681.1992,681.0,681.13,681.32,681.0,2026-03-03 15:31:00-05:00,1754
692,175323.163628,680.9839,681.15,680.982,681.17,680.86,2026-03-03 15:32:00-05:00,2082
693,143242.821993,680.9276,681.03,680.84,681.07,680.78,2026-03-03 15:33:00-05:00,2287
694,233377.417566,680.8883,680.84,680.8,681.0,680.77,2026-03-03 15:34:00-05:00,3660
695,172642.491108,681.1754,680.81,681.48,681.49,680.81,2026-03-03 15:35:00-05:00,2663
696,317313.727309,681.3534,681.48,681.14,681.51,681.13,2026-03-03 15:36:00-05:00,4314
697,162637.522942,680.8589,681.13,680.77,681.18,680.705,2026-03-03 15:37:00-05:00,2575
698,122325.521509,680.6615,680.77,680.76,680.78,680.52,2026-03-03 15:38:00-05:00,2233
699,201338.337642,680.562,680.77,680.57,680.77,680.29,2026-03-03 15:39:00-05:00,3182
700,161939.181546,680.7093,680.59,680.59,680.84,680.58,2026-03-03 15:40:00-05:00,2517
701,147937.559878,680.3821,680.59,680.27,680.625,680.225,2026-03-03 15:41:00-05:00,2543
702,156696.821435,680.3781,680.27,680.385,680.53,680.24,2026-03-03 15:42:00-05:00,2294
703,183331.47036,680.3573,680.39,680.52,680.57,680.2,2026-03-03 15:43:00-05:00,2555
704,276827.193656,680.5106,680.52,680.45,680.655,680.35,2026-03-03 15:44:00-05:00,3232
705,338367.748063,680.6103,680.44,680.54,680.77,680.41,2026-03-03 15:45:00-05:00,4866
706,306964.006126,683.0715,680.53,680.4,680.72,680.35,2026-03-03 15:46:00-05:00,2789
707,270542.212423,680.2367,680.395,680.39,680.49,680.0,2026-03-03 15:47:00-05:00,3678
708,284278.814081,680.2977,680.365,680.29,680.48,680.16,2026-03-03 15:48:00-05:00,3722
709,163598.390184,680.3948,680.29,680.48,680.6,680.18,2026-03-03 15:49:00-05:00,2412
710,387893.944817,680.2583,680.47,680.03,680.64,679.92,2026-03-03 15:50:00-05:00,6162
711,308436.476249,679.6352,680.05,679.53,680.13,679.35,2026-03-03 15:51:00-05:00,4602
712,333316.800232,679.4672,679.53,679.3587,679.6899,679.21,2026-03-03 15:52:00-05:00,4873
713,309783.35384,679.5501,679.36,679.77,679.77,679.32,2026-03-03 15:53:00-05:00,4741
714,495114.690219,680.051,679.76,680.09,680.27,679.62,2026-03-03 15:54:00-05:00,7083
715,456352.387654,680.0303,680.08,680.03,680.32,679.815,2026-03-03 15:55:00-05:00,6636
716,652510.962436,682.5315,680.02,679.845,680.07,679.77,2026-03-03 15:56:00-05:00,5346
717,355004.357893,679.9702,679.86,680.08,680.12,679.755,2026-03-03 15:57:00-05:00,5311
718,419373.210286,680.1112,680.08,680.135,680.215,680.01,2026-03-03 15:58:00-05:00,6018
719,1439658.890283,681.2393,680.14,680.27,680.41,679.88,2026-03-03 15:59:00-05:00,12206
720,139172.100201,680.1678,680.27,680.19,680.33,679.98,2026-03-03 16:00:00-05:00,680
721,152319.882934,680.0213,680.13,679.91,680.17,676.6788,2026-03-03 16:01:00-05:00,863
722,49453.369039,679.7996,679.91,679.67,679.99,679.65,2026-03-03 16:02:00-05:00,415
723,42003.630964,679.6541,679.72,679.7603,679.79,679.57,2026-03-03 16:03:00-05:00,361
724,54482.125033,679.7575,679.76,679.81,679.85,679.66,2026-03-03 16:04:00-05:00,423
725,21164.113288,679.7257,679.76,679.64,679.84,679.61,2026-03-03 16:05:00-05:00,239
726,12479.942792,679.6427,679.66,679.66,679.7,679.59,2026-03-03 16:06:00-05:00,147
727,43726.087714,679.6144,679.68,679.63,679.68,679.58,2026-03-03 16:07:00-05:00,300
728,36536.020141,679.5696,679.64,679.52,679.67,679.52,2026-03-03 16:08:00-05:00,183
729,1747700.487546,680.2059,679.51,679.54,679.55,679.44,2026-03-03 16:09:00-05:00,229
730,30439.33034,679.5343,679.54,679.48,679.59,679.46,2026-03-03 16:10:00-05:00,287
731,43104.100553,679.6323,679.48,679.72,679.74,679.48,2026-03-03 16:11:00-05:00,420
