,volume,vwap,open,close,high,low,datetime,trades
629,202458.819227,688.4042,688.21,688.395,688.5499,688.19,2026-03-02 14:30:00-05:00,2679
630,227357.655804,688.2568,688.4,688.19,688.41,688.13,2026-03-02 14:31:00-05:00,2752
631,167456.911612,688.2794,688.195,688.26,688.4,688.145,2026-03-02 14:32:00-05:00,2261
632,139579.231093,688.2823,688.24,688.305,688.41,688.15,2026-03-02 14:33:00-05:00,2085
633,109464.232884,688.4586,688.31,688.37,688.51,688.31,2026-03-02 14:34:00-05:00,1637
634,87656.557645,688.3774,688.36,688.35,688.45,688.31,2026-03-02 14:35:00-05:00,1394
635,144300.1118,688.4059,688.33,688.48,688.5285,688.3,2026-03-02 14:36:00-05:00,1958
636,80613.036283,688.5421,688.48,688.55,688.62,688.48,2026-03-02 14:37:00-05:00,1471
637,205948.885681,688.4298,688.55,688.39,688.56,688.35,2026-03-02 14:38:00-05:00,2816
638,130361.414991,688.3274,688.4,688.255,688.45,688.24,2026-03-02 14:39:00-05:00,1691
639,114408.706453,688.3984,688.25,688.36,688.45,688.25,2026-03-02 14:40:00-05:00,1665
640,81896.196701,688.3516,688.36,688.29,688.4334,688.28,2026-03-02 14:41:00-05:00,1267
641,116842.806846,688.2065,688.27,688.17,688.28,688.13,2026-03-02 14:42:00-05:00,1745
642,97258.849488,688.083,688.17,688.01,688.21,687.99,2026-03-02 14:43:00-05:00,1711
643,89164.972817,688.0532,688.01,688.06,688.1,687.97,2026-03-02 14:44:00-05:00,1303
644,62782.393203,688.1246,688.06,688.075,688.16,688.045,2026-03-02 14:45:00-05:00,1176
645,111083.881296,688.1662,688.07,688.14,688.305,688.04,2026-03-02 14:46:00-05:00,1561
646,76037.018519,688.3138,688.156,688.32,688.41,688.14,2026-03-02 14:47:00-05:00,1249
647,50725.203031,688.3373,688.32,688.32,688.385,688.295,2026-03-02 14:48:00-05:00,1007
648,57702.525582,688.2858,688.32,688.26,688.33,688.24,2026-03-02 14:49:00-05:00,1007
649,89994.966272,688.1922,688.26,688.245,688.29,688.1,2026-03-02 14:50:00-05:00,1364
650,80863.634384,688.3072,688.245,688.32,688.42,688.24,2026-03-02 14:51:00-05:00,1458
651,48232.120035,688.3313,688.33,688.385,688.39,688.26,2026-03-02 14:52:00-05:00,1027
652,59785.255599,688.3963,688.38,688.37,688.47,688.35,2026-03-02 14:53:00-05:00,992
653,64058.155728,688.4525,688.37,688.4601,688.53,688.37,2026-03-02 14:54:00-05:00,1130
654,99418.007364,688.4459,688.46,688.48,688.52,688.375,2026-03-02 14:55:00-05:00,1306
655,51511.709065,688.4162,688.4563,688.41,688.465,688.34,2026-03-02 14:56:00-05:00,869
656,102272.521024,688.3843,688.42,688.38,688.47,688.28,2026-03-02 14:57:00-05:00,1583
657,105293.501385,688.3402,688.38,688.3085,688.435,688.2703,2026-03-02 14:58:00-05:00,1645
